단어,빈도수
의미,7
가작,7
젠장,7
우두커니,7
물기,7
외부,7
결박,7
트,7
발가락,7
기록,7
뭉치,7
푸르스름,7
거울,7
군데,7
자주,7
소식,7
살갗,7
모포,7
간이,7
일정,7
후반,7
덩이,7
현관문,7
시장,7
리지,7
외딴,7
반드시,7
여자아이,7
영,7
겁,7
부끄러움,7
미처,7
손길,7
일일이,7
트럭,7
도대체,7
추측,7
설,7
양복,7
복,7
뒤쪽,7
운명,7
애정,7
경악,7
비롯,7
비닐,7
공장,7
피해,7
보라,7
진심,7
전선,7
설령,7
새끼,7
만하,7
흐,7
용기,7
젠,7
안개,7
껍질,7
보도블록,7
기계,7
임씨,7
점방,7
버려진,7
모로,7
변화,7
정적,7
계,7
신호,7
물결,7
동의,7
억,7
뉴스,7
인구,7
과거,7
치마,7
몸짓,7
충동,7
그린,7
보도,7
어찌,7
연민,7
저편,7
붙이,7
팔고,7
갱목,7
실내,7
점퍼,7
난로,7
노력,7
물음,7
주저,7
카드,7
웃음소리,7
취중,7
여인,7
마저,7
밤새,7
결,7
소원,7
열차표,7
빈손,7
교육청,7
광,7
영안,7
별로,7
녘,7
다해,7
결혼,7
비키니,7
과일,7
지하방,7
소개,7
욕,7
수만,7
껍데기,7
개인,7
조건,7
졸업,7
변두리,7
걸이,7
응,7
계란,7
눈보라,7
발자국,7
승낙,7
부정,6
차려,6
폐석,6
지지,6
취기,6
변명,6
출발,6
자위,6
허벅지,6
널,6
전국,6
사환,6
차마,6
스무,6
더니,6
경련,6
뚜벅뚜벅,6
진작,6
인쇄,6
제기랄,6
맥주,6
유지,6
고집,6
나름,6
교,6
반대,6
경우,6
휘,6
토요일,6
산간,6
취하,6
유언,6
물속,6
특유,6
칸,6
요새,6
청,6
비교,6
일종,6
착각,6
가다가,6
인천,6
장갑,6
형편,6
저런,6
정이,6
유,6
묘,6
젖가슴,6
끈끈,6
당부,6
전시,6
일대,6
친척,6
어머,6
아아,6
이미지,6
목숨,6
혀끝,6
집중,6
어보,6
멋,6
예상,6
깔깔,6
왕,6
가끔,6
덕분,6
정지,6
현장,6
느릿느릿,6
맺혔다,6
깃,6
눈썹,6
여태껏,6
교복,6
기쁨,6
물끄러미,6
겹겹이,6
종류,6
출장,6
마리,6
학적,6
흐느끼,6
억지로,6
어서,6
보상금,6
허기,6
힘껏,6
물살,6
꽉,6
셈,6
외출,6
아궁이,6
현재,6
고도,6
후락,6
지명,6
공중전화,6
술병,6
흰자위,6
다기,6
보호자,6
튀어,6
방법,6
두시,6
토박이,6
얼음장,6
장종,6
욱,6
색깔,6
명령,6
취해,6
비닐봉지,6
제나,6
어쩐지,6
누운,6
내장,6
벽지,6
뿜,6
어쨌든,6
형상,6
비어,6
젊음,6
투,6
문턱,6
찻집,6
일로,6
대지,6
소주,6
안내,6
