단어,빈도수
열었다,14
가면,14
돌아보았다,14
가까이,14
거칠게,14
낮은,14
살폈다,14
가고,14
있었을,14
봐요,14
들렸다,14
오전,14
사라져,14
사진기,14
상체,14
준비,14
스쳐,14
흉터,14
기운,14
양,14
민영,14
대뜸,14
하긴,14
카페,14
아무리,14
여관,14
각,14
둘러,14
느낄,14
하면서,14
분명히,14
없었,14
관,14
털,14
부장,14
짐,14
들어온,14
그늘,14
차창,14
바라보고,14
조,14
잠자코,14
혹은,14
만든,14
있었다는,14
길게,14
버리고,14
버렸다,14
기대어,14
손톱,14
않기,14
마당,14
잠겨,14
신음,13
견딜,13
대체,13
육체,13
전부,13
채였다,13
뿔,13
냐,13
리가,13
웃는,13
밀어,13
최대한,13
로는,13
목구멍,13
몰라,13
일곱,13
지었다,13
차가,13
덧붙였다,13
형광등,13
경계,13
면서,13
눈살,13
아니면,13
콘크리트,13
사라졌다,13
편이었다,13
린,13
않는다,13
억,13
시내,13
방문,13
윤곽,13
통과,13
풀,13
여남은,13
않았던,13
주민,13
녀석,13
오로지,13
지하철,13
소스,13
어쩌면,13
빚,13
산들,13
화장실,13
부탁,13
막상,13
비슷한,13
감고,13
강원도,13
폭발,13
공,13
활짝,13
초반,13
크고,13
석탄,13
한숨,13
틀어,13
떨어져,13
비틀,13
형,13
느,13
에만,13
엉,13
힘든,13
떨고,13
내려,13
적요,13
피로,13
줄곧,13
이내,13
싶었다,13
가느다란,13
쓰는,13
나올,13
어디서,13
했으나,13
까지는,13
정작,13
중앙,13
승용차,13
작가,13
참,13
가서,13
자료,13
칼,13
랑,13
농담,13
없다고,13
법,13
잠든,13
그림자,13
붙어,13
쓸어,13
변,13
공포,13
엄마,13
여덟,13
시체,12
파마머리,12
같,12
들리지,12
집의,12
않았을,12
떠,12
부를,12
짙은,12
어진,12
용,12
않게,12
없게,12
눈송이,12
속력,12
이건,12
글쎄,12
화숙,12
점심,12
지붕,12
께,12
으로부터,12
이던,12
과연,12
오지,12
판단,12
외로움,12
오르는,12
초등학교,12
걸려,12
겨,12
가게,12
데리,12
않아요,12
받고,12
호기심,12
머리카락,12
있었는데,12
자취,12
했을까,12
애써,12
찾기,12
씨,12
질,12
걸었다,12
쓰고,12
넣었다,12
대화,12
시청,12
모를,12
대고,12
알았다,12
만나,12
기는,12
저쪽,12
대학,12
길고,12
던져,12
한데,12
한꺼,12
하얗게,12
임영석,12
불꽃,12
늦은,12
달렸다,12
간밤,12
찍,12
웃고,12
거대한,12
은행,12
허,12
함전,12
간신히,12
대꾸,12
테이블,12
물건,12
한다고,12
얼어붙은,12
다행,12
움직,12
사방,12
이란,12
진짜,12
답,12
력,12
고작,12
판,12
물었을,12
매우,12
오른쪽,12
일어섰다,12
거친,11
장면,11
안간힘,11
복도,11
했으므로,11
만난,11
달려,11
고스,11
묻자,11
열쇠,11
문득,11
통증,11
만으로,11
이니,11
좋아하지,11
소파,11
잊고,11
경관,11
떠나지,11
조용히,11
날씨,11
새로,11
찾는,11
름,11
(,11
평,11
잃고,11
그래요,11
나가는,11
돌아와,11
약속,11
근,11
간다,11
껐다,11
머,11
그제야,11
화산,11
목발,11
내리고,11
지친,11
벗고,11
...,11
하려,11
되도록,11
묻는,11
제발,11
아랫목,11
내며,11
아홉,11
느끼고,11
해온,11
이력서,11
누가,11
왔을,11
크기,11
과자,11
도착,11
주의,11
보았을,11
마저,11
배어,11
오십,11
외쳤다,11
번쩍이는,11
뭔가,11
그러던,11
거니,11
아니야,11
음악,11
돼요,11
이었을까,11
춤,11
흠,11
세시,11
특히,11
된다,11
나쁜,11
알아볼,11
어울리지,11
중간,11
찾을,11
끊었다,11
지난해,11
더러운,11
꽃,11
생긴,11
행,11
쓴,11
인물,11
젖어,11
시늉,11
구름,11
건가,11
찍기,11
쌓여,11
먹는,11
듣는,11
지갑,11
가장자리,11
서로,11
길은,11
흡사,11
시각,11
역전,11
줄기,11
초,11
만들어,11
원피스,11
탔다,11
나란히,11
마찬가지,11
아직도,11
이지,11
사물,11
무거운,11
계획,11
어리석은,11
끈,11
회,11
재차,11
의아,11
토,11
직전,11
팔짱,11
장소,11
눈꺼풀,11
스물,11
살피,11
미,11
호의,11
약초,10
가냘픈,10
다가갔다,10
받았다,10
좀더,10
십여,10
최근,10
주는,10
실제,10
운동장,10
대부분,10
안고,10
써,10
승강기,10
버,10
만날,10
